,Year,Month,Avr.ID,Avrakning,Medlemsnummer,Avr.Omr,Avrakningsomrade,Verknummer, ,Typ av framforande inom avrakningsomradet,Land,Roll,Andel%,Belopp,Avtalsnummer,Avtalsnamn,Filmnummer,Filmtitel,Episodtitel,Rattighet,Antal Spelningar
70,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,35175994,B305,iTunes Downloads - Bakgrund,SVERIGE,CA,"10,0",1.02,,,,,,PR,
71,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,35598261,300,SPOTIFY - BAKGRUND,SVERIGE,CA,"18,8",32.04,,,,,,PR,
72,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,35598261,B1030,P3,SVERIGE,CA,"18,8",56.53,,,,,,PR,
73,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,35598261,B305,iTunes Downloads - Bakgrund,SVERIGE,CA,"18,8",1.52,,,,,,PR,
74,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,35598261,B553,P5 STOCKHOLM,SVERIGE,CA,"18,8",0.41,,,,,,PR,
75,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,37711023,300,SPOTIFY - BAKGRUND,SVERIGE,CA,"35,0",204.3,,,,,,PR,
76,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,37711023,B305,iTunes Downloads - Bakgrund,SVERIGE,CA,"35,0",13.79,,,,,,PR,
77,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,37711023,B305,iTunes Downloads - Bakgrund,SVERIGE,CA,"35,0",19.0,,,,,,PR,
78,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,38001949,300,SPOTIFY - BAKGRUND,SVERIGE,A,"25,0",1.01,,,,,,PR,
79,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,39124693,300,SPOTIFY - BAKGRUND,SVERIGE,CA,"11,67",38.95,,,,,,PR,
80,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,39124693,B341,TV4 BAKGRUND,SVERIGE,CA,"11,67",6.53,,,,,,PR,
81,2018,June,1197,Juniutbetalning 2018,5033743,10,Sveriges Radio,27208757,061,P3 DIN GATA,SVERIGE,CA,"11,12",29.35,,,,,,PR,
82,2018,June,1197,Juniutbetalning 2018,5033743,10,Sveriges Radio,27208757,062,P6,SVERIGE,CA,"11,12",0.62,,,,,,PR,
83,2018,June,1197,Juniutbetalning 2018,5033743,10,Sveriges Radio,27208757,1010,P1,SVERIGE,CA,"11,12",28.56,,,,,,PR,
84,2018,June,1197,Juniutbetalning 2018,5033743,10,Sveriges Radio,27208757,1020,P2 ÖVRIGT (ALLT UTOM LIVE),SVERIGE,CA,"11,12",5.94,,,,,,PR,
85,2018,June,1197,Juniutbetalning 2018,5033743,10,Sveriges Radio,27208757,1030,P3,SVERIGE,CA,"11,12",319.81,,,,,,PR,
